CASENUM,ATTORNEY,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS
5,0,0,1,0,50,34.94
3,1,1,0,0,18,0.891
66,1,0,1,0,5,0.33
70,0,0,1,1,31,0.037
96,1,0,1,0,30,0.038
97,0,1,1,0,35,0.309
10,0,0,1,0,9,3.538
36,0,1,1,0,34,4.881
51,1,1,1,0,60,0.874
55,1,0,1,0,,0.35
61,0,1,1,0,37,6.19
148,0,0,1,0,41,19.61
150,1,0,1,0,7,1.678
150,0,1,1,0,40,0.673
169,1,1,1,0,37,0.143
171,1,1,0,0,9,0.053
334,1,1,1,0,58,0.05
360,0,0,1,0,58,0.758
376,1,0,1,0,3,0
401,0,1,1,0,38,4.754
479,0,0,,0,37,3.1
480,1,1,1,0,39,0.13
550,0,0,0,0,38,16.161
569,0,0,,0,30,0.609
580,1,0,1,0,54,10.04
608,1,1,1,0,3,0.787
603,1,0,1,0,61,0.15
606,0,0,1,0,0,0.405
607,1,0,1,0,40,0.405
630,0,0,1,0,,0.595
640,1,1,1,0,16,3.994
640,1,0,1,0,,0.337
685,1,0,1,0,9,0.603
700,0,1,1,0,35,1.673
710,0,1,1,0,35,4.751
766,0,1,1,0,17,3.538
775,0,1,0,0,41,3.185
805,0,1,1,0,50,3.7
819,1,0,1,0,33,0.386
838,0,0,1,0,9,1.97
851,1,0,1,0,34,0.904
871,0,1,0,0,33,8.09
905,0,1,1,0,46,8.09
941,1,1,1,0,55,13.1
971,1,0,1,0,5,0.46
61,1,1,1,0,,3.981
63,0,0,0,0,16,1.74
78,1,0,1,0,1,0
91,0,0,1,0,,1.003
0,0,0,1,0,40,3.1
4,0,1,1,0,19,3.777
54,1,0,1,0,54,0.975
70,1,1,1,0,,0.497
86,1,1,1,0,,0.335
178,0,1,1,0,60,1.669
195,0,0,1,0,30,33.633
301,1,1,1,0,,0.305
304,0,1,0,0,10,6.694
335,1,1,1,0,44,0.139
339,1,0,1,0,10,0.987
354,1,1,1,0,,0
359,1,0,1,0,,0.53
366,0,0,,,35,5.563
387,1,0,1,0,54,0.17
405,0,1,1,0,38,1.513
445,1,1,1,0,60,0.73
470,1,0,1,0,,3.638
505,1,0,1,0,30,0.08
530,1,1,0,0,17,0.31
590,0,0,1,0,4,0.3
607,0,0,1,0,56,44.06
608,0,0,1,0,63,1.6
614,0,0,1,0,55,0.895
664,0,0,1,0,47,0.441
670,1,0,1,0,0,0.445
740,0,0,1,0,5,3.5
743,1,0,1,0,38,0.909
780,1,1,1,0,,0
784,0,0,1,0,40,1.875
790,1,0,1,0,57,3.889
840,0,1,1,0,17,1.765
908,1,1,1,0,1,0.517
970,0,1,,0,,9.73
996,0,1,0,0,11,1.71
1001,0,0,1,0,40,0.834
1009,1,1,1,0,10,1.031
1003,0,0,1,0,18,3.37
1010,1,1,1,0,35,0.15
1013,0,1,1,0,11,4.117
1017,0,1,1,0,16,4.44
1018,1,1,1,0,,0.8
1054,0,1,1,0,0,4.506
1063,1,1,1,0,8,0.86
1091,0,0,1,0,31,3.018
1010,0,0,1,0,50,1.467
1011,1,1,1,0,71,0.098
1013,1,1,1,0,,3.681
1054,0,0,1,0,1,34.571
1057,0,0,1,0,16,8.698
1059,1,0,1,0,9,0.46
1078,1,0,1,0,6,0.71
1156,1,1,1,0,43,0.535
1164,0,1,1,0,35,1.435
1189,0,1,1,0,,1.433
1309,1,0,1,0,7,0.589
1304,0,0,1,0,43,4.485
1315,0,0,1,0,19,40.364
1349,0,1,0,0,10,3.975
1388,1,1,1,0,31,0.595
1404,0,0,1,0,,0.755
1470,0,0,1,0,69,1.05
1473,1,1,1,0,33,0.41
1491,0,1,0,0,40,5.444
1496,1,1,1,0,,0.365
1568,1,1,1,0,8,0.38
1589,0,0,1,0,,3.06
1599,1,1,1,0,,0.765
1606,0,1,1,0,41,3.595
1655,0,1,1,0,43,3.031
1661,1,1,1,0,,6.35
1690,0,1,1,0,10,0.305
1740,0,1,1,0,9,5.813
1755,0,1,1,0,46,0.05
1758,0,1,1,0,7,1.99
1838,0,1,1,0,30,4.414
1846,1,1,1,0,43,3.863
1879,1,0,1,0,,0.15
1896,0,0,1,0,33,7.761
1939,1,0,1,0,54,0.747
1958,1,0,1,,40,1.577
1990,1,1,1,0,48,0.345
3067,1,1,1,0,50,0.056
3087,0,,,,,3.04
3093,0,1,1,0,,9.796
3047,0,1,1,0,31,4.46
3151,1,0,1,0,1,0.08
3157,1,0,1,0,,0.085
3190,0,0,1,1,0,1.005
3198,1,1,1,0,61,0.535
3305,0,0,1,0,8,0.973
3314,0,1,1,0,7,0.655
3337,1,1,1,0,37,3.667
3384,0,0,1,0,,0.615
3443,0,0,1,0,4,8.616
3446,0,0,1,0,75,3
3465,1,1,1,0,80,0.091
3500,1,0,1,0,33,1.38
3531,0,0,1,0,6,49.56
3546,0,1,1,0,40,59.497
3561,1,1,1,0,10,0.443
3571,0,1,1,0,40,8.74
3580,0,1,1,0,,1.79
3605,1,1,1,0,6,0.075
3667,0,0,1,0,66,0.507
3668,0,1,1,0,41,1.579
3677,0,1,1,0,56,6.44
3699,0,0,1,0,17,33.451
3707,0,1,1,0,13,40.46
3763,0,0,,,0,9.031
3791,1,0,0,0,51,0.05
3800,1,0,0,0,33,1.509
3848,1,0,1,0,10,0.375
3874,1,1,1,0,,0.8
3901,0,1,1,0,18,4.089
3906,1,0,0,,39,0.148
3900,1,0,1,0,0,0.01
3905,1,0,1,0,46,0.678
3910,1,1,0,0,39,0.14
3939,0,0,1,0,10,4.139
3974,0,1,1,0,34,0.1
3995,0,0,1,0,8,0.47
4066,0,1,1,0,41,4.84
4083,0,1,1,0,7,4.503
4000,0,1,1,0,18,1.638
4006,0,1,1,0,41,3.489
4084,1,0,1,0,10,4.375
4088,1,1,1,0,1,0.48
4096,1,1,1,0,6,0.604
4101,1,1,1,0,4,4.117
4130,0,0,1,0,15,9.898
4137,1,0,0,0,8,1.667
4148,1,0,1,0,5,0
4196,1,0,1,0,0,0.44
4409,0,1,1,0,,1.009
4465,1,0,1,0,,7.064
4490,0,1,1,0,40,1.53
4507,0,1,1,0,,0.377
4561,0,0,1,0,61,0.307
4593,0,0,,0,43,0.013
4681,1,1,0,0,65,0.373
4684,1,1,1,0,14,1.595
4695,0,0,1,0,10,5.345
4707,1,1,1,0,6,0
4708,1,1,1,0,49,3.968
4780,0,1,1,0,33,0.617
4789,1,1,1,0,8,1.478
4799,0,0,1,0,30,3.677
4835,1,1,1,0,50,0.145
4844,0,0,1,0,49,0.39
4915,1,1,,0,9,3.6
4919,1,1,1,0,17,0.054
4935,1,1,1,0,55,0.5
4970,0,1,1,0,18,3.086
5000,0,1,0,0,10,1.847
5010,0,1,0,0,38,0.714
5051,0,1,1,0,11,1.1
5076,1,1,1,0,,0.108
5108,1,0,1,0,41,0.795
5100,0,1,1,0,37,15.816
5151,1,0,0,0,13,4.508
5184,1,1,1,0,49,0.608
5187,1,1,1,0,10,0.886
5304,1,1,1,0,4,0
5340,1,1,1,0,40,3.75
5359,0,1,1,0,60,0.466
5376,1,1,1,0,77,0.944
5380,1,1,1,0,10,3.435
5381,0,1,1,0,8,5.409
5400,1,1,1,0,0,0.04
5491,1,1,1,0,14,0.808
5504,1,1,1,1,7,0.983
5547,1,0,1,0,44,0.035
5560,1,0,1,0,,3.013
5639,1,0,1,0,9,1.38
5641,1,0,1,0,6,0.64
5666,0,0,1,0,19,1.644
5685,1,1,1,0,6,1.461
5708,0,0,1,0,7,0.64
5730,0,1,1,0,35,4.604
5745,1,1,1,0,31,3.95
5748,1,0,1,0,49,0.15
5758,1,0,1,0,39,1.04
5800,1,1,1,0,34,4.09
5819,0,0,0,0,37,1.57
5881,0,1,,0,40,3.068
5900,0,1,1,0,17,1.619
5918,0,1,1,0,5,0.901
5949,0,1,0,0,19,0.885
5954,1,1,1,0,16,0.968
5956,1,1,1,0,6,0.011
5991,1,0,1,0,34,0.66
6014,1,1,1,0,38,6.509
6080,0,0,1,0,41,40
6000,0,0,1,0,35,3.033
6005,1,1,1,0,5,0.094
6008,1,1,1,0,40,3.7
6134,1,1,1,0,13,0.958
6195,1,1,1,0,7,0.5
6313,0,0,1,0,,1.835
6330,1,1,1,0,8,0.134
6330,1,1,1,0,49,0.51
6368,0,1,1,0,50,6.608
6409,1,0,1,0,50,0.35
6434,0,0,1,0,10,5.307
6491,0,1,1,0,,3.974
6543,0,0,1,0,30,4
6570,0,1,1,,17,3.63
6579,0,0,1,0,15,3.07
6593,0,0,1,0,0,0.709
6641,0,0,1,1,66,4.53
6680,1,1,1,0,30,0.877
6690,1,0,1,0,30,0.118
6697,1,0,0,0,6,0.598
6790,1,1,1,0,30,0.76
6869,0,0,1,0,50,0.675
6881,0,1,1,0,19,1.74
6936,1,1,1,0,49,4.164
6976,1,0,1,,40,0.386
7005,1,1,1,0,54,0.084
7035,0,0,0,0,3,0.851
7007,0,1,1,0,5,0.057
7009,0,1,1,0,6,4.3
7013,0,0,1,0,39,1.088
7035,1,1,1,0,9,3
7038,0,1,1,0,,0.909
7041,0,1,1,0,5,0.78
7057,0,1,1,0,37,4.018
7060,1,0,1,0,,81
7097,1,1,1,0,5,0.518
7107,0,0,1,0,47,0.15
7108,0,1,1,0,69,1.076
7140,1,0,1,0,38,1.031
7163,1,0,1,0,,0.011
7309,0,1,1,1,19,3.714
7350,1,1,1,0,,0.03
7381,1,1,1,0,7,7.45
7386,0,0,1,0,10,1.617
7406,0,1,1,0,19,68.56
7477,1,0,1,0,6,0.708
7484,0,1,1,0,5,6.08
7498,1,1,1,0,31,0.01
7586,0,1,1,0,17,3.34
7605,0,0,1,0,6,1.47
7647,0,1,1,0,10,3.33
7667,1,1,1,0,,3.099
7670,0,1,0,0,6,1.617
7694,1,0,1,0,0,0.5
7704,1,1,1,0,39,0.434
7707,1,0,1,0,,0.04
7713,1,1,1,0,46,1.47
7748,0,0,1,0,7,0.4
7769,1,1,0,0,,0.008
7776,1,0,1,0,41,3.31
7779,0,1,1,0,8,0.1
7791,1,1,1,0,8,0.7
7855,1,0,1,0,33,0.886
7883,1,1,1,0,5,4.058
7904,1,0,1,0,57,0.5
7909,1,1,1,0,36,0.15
7930,1,0,1,0,35,9.061
7971,1,0,1,0,41,0.746
7980,0,1,1,0,15,1.377
7996,0,1,0,0,13,1.056
7999,0,0,0,0,49,0.998
8005,1,1,1,0,0,1.38
8033,1,1,1,0,13,0.1
8036,1,0,1,0,0,0.005
8051,1,1,1,0,6,0.04
8174,1,1,1,0,,0.05
8300,0,0,1,0,36,1.104
8336,1,1,1,0,48,0.47
8338,1,0,1,0,10,0.505
8354,1,1,1,0,39,1.113
8380,1,0,1,0,6,4.478
8397,0,0,,0,,18.06
8400,1,1,1,0,46,0.005
8406,0,1,1,0,0,0.057
8410,0,1,1,0,9,3.309
8414,1,0,1,0,38,1.408
8418,1,1,1,0,6,5.049
8434,0,0,0,0,5,0.368
8471,1,0,1,0,54,1.405
8509,1,1,1,0,,1
8519,0,0,0,0,31,41.115
8570,0,0,1,0,8,5.83
8581,1,0,1,0,,0.9
8647,0,0,1,0,46,4.159
8673,1,1,1,0,33,0.78
8686,1,0,1,0,7,0.701
8699,1,1,1,0,11,4.19
8706,0,1,1,0,6,0.14
8713,1,1,1,0,41,4.691
8748,0,0,1,0,39,1.043
8770,1,1,1,0,16,0.861
8811,0,0,1,0,36,0.73
8816,0,0,0,0,19,1.43
8830,1,1,0,0,61,0.83
8846,1,1,1,0,56,3.009
8886,0,1,1,0,14,1.83
8938,1,1,1,0,34,4.349
8939,0,0,1,0,45,5.735
8940,0,1,1,0,53,7.549
8999,1,0,1,0,38,0.199
9047,1,1,,,10,0.163
9081,0,1,0,0,13,3.091
9030,0,1,0,0,36,4.405
9034,1,0,1,0,16,1.85
9071,0,1,1,0,31,9.017
9086,1,1,1,0,41,0.671
9097,0,1,1,0,60,3.997
9103,1,0,1,0,10,0.09
9113,0,1,1,0,44,3.199
9114,1,0,,0,9,1.77
9146,0,1,1,0,46,173.604
9151,1,1,1,0,8,0.405
9173,1,1,1,0,38,3.055
9304,0,0,1,0,,4.04
9330,0,0,1,0,34,0.567
9378,1,0,1,0,16,1.07
9407,1,0,1,0,0,0.035
9400,1,0,1,0,59,0
9437,0,1,1,0,30,3.634
9443,1,1,1,0,9,0.47
9510,0,1,1,0,,3.335
9514,0,1,1,0,46,8.801
9544,1,1,1,0,40,5.44
9546,0,1,1,0,54,1.149
9553,0,1,1,0,37,4.86
9555,0,1,1,0,67,1.035
9581,0,0,1,0,34,3.85
9600,0,1,1,0,8,0.989
9603,1,1,1,0,59,3.595
9604,0,1,1,0,35,8.508
9608,0,1,1,0,41,1.306
9605,0,0,1,0,6,0.905
9647,1,0,0,0,,0.371
9653,0,1,1,0,35,0.86
9660,1,1,1,0,55,0.604
9704,0,0,1,0,,3.595
9704,0,1,1,0,16,4.665
9758,1,1,1,0,36,1.351
9791,1,0,1,0,8,0.083
9793,1,1,1,0,6,0.495
9806,0,1,1,0,3,0.035
9800,0,1,,,5,5.163
9817,1,1,1,0,,0.756
