Month,Footfalls,t,log_footfalls,t_square,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan-91,1709,1,7.443663683,1,1,0,0,0,0,0,0,0,0,0,0,0
Feb-91,1621,2,7.390798522,4,0,1,0,0,0,0,0,0,0,0,0,0
Mar-91,1973,3,7.587310506,9,0,0,1,0,0,0,0,0,0,0,0,0
Apr-91,1812,4,7.502186487,16,0,0,0,1,0,0,0,0,0,0,0,0
May-91,1975,5,7.588323677,25,0,0,0,0,1,0,0,0,0,0,0,0
Jun-91,1862,6,7.529406458,36,0,0,0,0,0,1,0,0,0,0,0,0
Jul-91,1940,7,7.570443252,49,0,0,0,0,0,0,1,0,0,0,0,0
Aug-91,2013,8,7.607381426,64,0,0,0,0,0,0,0,1,0,0,0,0
Sep-91,1596,9,7.375255778,81,0,0,0,0,0,0,0,0,1,0,0,0
Oct-91,1725,10,7.452982329,100,0,0,0,0,0,0,0,0,0,1,0,0
Nov-91,1676,11,7.424165281,121,0,0,0,0,0,0,0,0,0,0,1,0
Dec-91,1814,12,7.503289631,144,0,0,0,0,0,0,0,0,0,0,0,1
Jan-92,1615,13,7.387090236,169,1,0,0,0,0,0,0,0,0,0,0,0
Feb-92,1557,14,7.350516172,196,0,1,0,0,0,0,0,0,0,0,0,0
Mar-92,1891,15,7.544861069,225,0,0,1,0,0,0,0,0,0,0,0,0
Apr-92,1956,16,7.578656851,256,0,0,0,1,0,0,0,0,0,0,0,0
May-92,1885,17,7.5416831,289,0,0,0,0,1,0,0,0,0,0,0,0
Jun-92,1623,18,7.392031568,324,0,0,0,0,0,1,0,0,0,0,0,0
Jul-92,1903,19,7.551186867,361,0,0,0,0,0,0,1,0,0,0,0,0
Aug-92,1997,20,7.599401333,400,0,0,0,0,0,0,0,1,0,0,0,0
Sep-92,1704,21,7.440733707,441,0,0,0,0,0,0,0,0,1,0,0,0
Oct-92,1810,22,7.501082124,484,0,0,0,0,0,0,0,0,0,1,0,0
Nov-92,1862,23,7.529406458,529,0,0,0,0,0,0,0,0,0,0,1,0
Dec-92,1875,24,7.536363938,576,0,0,0,0,0,0,0,0,0,0,0,1
Jan-93,1705,25,7.44132039,625,1,0,0,0,0,0,0,0,0,0,0,0
Feb-93,1619,26,7.389563954,676,0,1,0,0,0,0,0,0,0,0,0,0
Mar-93,1837,27,7.515889085,729,0,0,1,0,0,0,0,0,0,0,0,0
Apr-93,1957,28,7.579167967,784,0,0,0,1,0,0,0,0,0,0,0,0
May-93,1917,29,7.558516743,841,0,0,0,0,1,0,0,0,0,0,0,0
Jun-93,1882,30,7.54009032,900,0,0,0,0,0,1,0,0,0,0,0,0
Jul-93,1933,31,7.566828479,961,0,0,0,0,0,0,1,0,0,0,0,0
Aug-93,1996,32,7.598900457,1024,0,0,0,0,0,0,0,1,0,0,0,0
Sep-93,1673,33,7.422373701,1089,0,0,0,0,0,0,0,0,1,0,0,0
Oct-93,1753,34,7.469083885,1156,0,0,0,0,0,0,0,0,0,1,0,0
Nov-93,1720,35,7.45007957,1225,0,0,0,0,0,0,0,0,0,0,1,0
Dec-93,1734,36,7.458186157,1296,0,0,0,0,0,0,0,0,0,0,0,1
Jan-94,1563,37,7.35436233,1369,1,0,0,0,0,0,0,0,0,0,0,0
Feb-94,1574,38,7.361375429,1444,0,1,0,0,0,0,0,0,0,0,0,0
Mar-94,1903,39,7.551186867,1521,0,0,1,0,0,0,0,0,0,0,0,0
Apr-94,1834,40,7.514254653,1600,0,0,0,1,0,0,0,0,0,0,0,0
May-94,1831,41,7.512617545,1681,0,0,0,0,1,0,0,0,0,0,0,0
Jun-94,1776,42,7.482118924,1764,0,0,0,0,0,1,0,0,0,0,0,0
Jul-94,1868,43,7.532623619,1849,0,0,0,0,0,0,1,0,0,0,0,0
Aug-94,1907,44,7.553286606,1936,0,0,0,0,0,0,0,1,0,0,0,0
Sep-94,1686,45,7.430114139,2025,0,0,0,0,0,0,0,0,1,0,0,0
Oct-94,1779,46,7.483806688,2116,0,0,0,0,0,0,0,0,0,1,0,0
Nov-94,1776,47,7.482118924,2209,0,0,0,0,0,0,0,0,0,0,1,0
Dec-94,1783,48,7.486052618,2304,0,0,0,0,0,0,0,0,0,0,0,1
Jan-95,1548,49,7.344719054,2401,1,0,0,0,0,0,0,0,0,0,0,0
Feb-95,1497,50,7.311218384,2500,0,1,0,0,0,0,0,0,0,0,0,0
Mar-95,1798,51,7.494430215,2601,0,0,1,0,0,0,0,0,0,0,0,0
