spell,event,ui,logwage,age
5,1,0,6.89568,41
13,1,1,5.28827,30
21,1,1,6.76734,36
3,1,1,5.97889,26
9,0,1,6.31536,22
11,0,1,6.85435,43
1,0,0,5.60947,24
3,1,0,6.16121,32
7,1,1,5.28827,35
5,0,1,5.28827,31
7,0,1,5.75574,26
15,0,1,6.67203,49
2,1,0,5.06259,39
3,0,1,4.95583,40
1,1,0,5.28827,20
2,1,0,5.87493,39
14,0,1,6.31536,38
1,1,0,6.16121,38
1,0,0,4.7362,20
5,0,0,5.46806,26
7,0,1,5.64897,44
5,0,1,5.15906,52
5,1,1,5.64897,30
2,0,0,4.77912,47
15,0,1,6.38519,43
15,1,0,5.28827,30
3,0,0,5.53339,25
6,0,1,6.16121,33
2,1,0,5.53339,45
1,1,0,5.62402,37
5,0,1,6.67203,47
2,1,1,5.87493,27
1,1,0,5.62402,42
7,1,0,7.36455,44
5,0,1,6.31536,31
6,0,0,5.75574,29
4,0,0,5.28827,24
6,1,1,5.55683,36
1,1,0,5.46806,39
3,1,0,6.45834,44
3,1,0,5.8522,29
2,0,0,5.97889,33
5,1,1,5.46806,35
14,0,1,6.07535,43
7,0,0,5.97889,43
5,1,1,6.13123,27
14,0,1,5.22575,28
1,1,0,5.53339,34
4,0,1,5.97889,29
14,1,1,5.36129,21
1,0,0,5.46806,22
1,0,1,5.87493,27
19,0,1,5.88332,46
5,1,1,5.75574,26
4,1,1,6.24222,27
1,1,0,5.87493,29
13,0,1,5.56452,48
1,0,0,5.06259,30
2,0,0,5.69036,40
1,0,0,5.39816,44
7,1,1,5.66296,42
1,0,0,5.46806,52
6,1,1,4.91265,23
4,0,0,5.53339,23
3,0,1,5.11199,25
7,1,1,6.78106,50
2,1,1,6.286,28
2,0,0,5.28827,30
27,0,1,5.46806,27
4,1,0,5.81711,48
5,1,0,5.53339,22
2,0,0,4.89784,21
3,0,0,6.05678,23
1,0,0,5.75574,26
4,1,1,5.51745,24
9,0,0,4.83628,38
1,0,1,5.28827,28
3,0,0,5.46806,20
14,0,1,5.62402,36
9,0,1,7.23201,30
5,0,1,4.89784,58
5,0,0,5.97889,28
5,1,1,5.75574,20
15,1,1,5.97889,47
20,0,0,5.46806,41
3,1,1,5.18178,41
4,0,1,7.31389,46
1,1,0,7.1025,54
7,0,1,5.81711,32
10,0,1,5.75574,44
10,0,1,5.75574,47
13,1,1,5.97889,34
11,0,0,5.75574,34
21,0,0,5.28827,21
9,0,1,5.32301,52
2,0,1,5.75574,25
3,1,1,5.8522,58
2,1,1,6.56667,49
1,0,1,5.66296,49
1,1,0,5.70378,25
14,1,1,6.16121,29
14,0,1,6.67203,56
7,0,1,5.06259,28
2,1,0,6.07535,37
18,0,1,5.75574,38
7,1,1,5.46806,27
11,0,1,5.83773,31
4,0,1,5.53339,51
2,0,1,5.46806,21
16,0,0,5.93754,24
4,0,0,5.28827,22
5,0,1,6.16121,24
14,1,1,5.39816,33
6,0,1,5.56068,44
7,0,0,5.46806,36
3,0,1,6.20254,37
7,0,1,5.53339,30
9,0,1,5.31321,21
15,1,1,5.71373,45
7,0,0,4.77912,36
7,0,1,5.39816,31
3,0,1,5.46806,29
2,0,1,5.69036,38
12,1,1,6.29342,37
5,0,1,5.28827,20
4,1,0,5.18178,25
13,1,1,5.64897,23
2,0,1,5.87493,21
11,0,1,5.97889,26
8,0,1,5.81711,43
24,0,1,5.79606,36
6,0,1,5.39816,25
4,0,1,5.28827,45
7,0,1,5.89715,60
7,0,1,5.97126,25
2,1,0,6.56667,44
7,0,1,6.16121,52
5,0,1,5.8522,34
5,0,1,6.24222,55
4,0,1,5.8522,33
15,0,1,5.20401,58
7,0,1,5.28827,23
5,1,0,5.75574,34
3,0,1,5.75574,21
4,0,1,5.99894,56
7,1,1,5.62402,36
3,0,0,5.54908,21
4,0,1,6.16121,32
2,0,0,5.06259,53
6,0,1,6.05209,32
11,0,1,5.06259,38
1,1,0,5.20401,23
3,0,0,5.06259,44
16,0,1,5.93754,52
15,0,1,5.75574,29
26,0,1,5.28827,29
14,0,1,6.02828,37
1,0,0,6.10925,43
5,0,1,5.87493,41
4,0,1,6.12687,40
28,0,1,5.75574,30
2,0,0,5.53339,21
7,0,1,6.44889,60
7,0,1,6.16121,26
7,1,0,5.94017,32
2,0,0,7.0775,35
13,0,1,7.32581,40
3,0,0,5.18178,26
7,1,1,5.75574,31
6,0,1,5.87493,45
1,0,1,5.59471,31
13,0,1,5.20401,42
8,0,1,5.82305,42
9,0,1,6.3081,37
4,0,0,5.46806,28
9,0,1,5.62402,36
5,0,1,6.12249,27
5,0,1,6.31536,27
7,0,1,6.51026,53
3,1,1,5.76205,25
6,0,1,5.46806,30
1,0,1,5.46806,29
1,1,0,5.67675,27
9,0,1,6.42162,27
11,0,1,5.93754,36
7,0,1,6.16121,28
9,0,0,5.87493,29
3,0,0,4.82831,41
4,0,0,5.75574,31
4,0,1,6.16121,58
3,0,1,5.97889,24
2,1,1,5.46806,49
10,0,1,6.31716,47
3,0,0,5.39816,22
4,0,1,6.09131,54
2,0,0,6.16121,38
7,1,0,5.81114,26
2,0,0,5.06259,20
2,0,0,4.74493,43
2,1,1,5.43372,28
5,0,1,5.17615,31
5,1,0,5.9135,34
11,0,1,5.39816,21
5,1,1,5.28827,53
11,0,1,6.22654,22
19,0,1,5.34233,50
13,0,1,4.63473,49
8,0,1,5.93754,60
11,0,0,6.16121,42
3,0,1,5.84064,44
3,1,0,5.28827,20
1,1,0,5.04986,25
5,0,1,5.97889,41
19,0,1,5.92693,26
2,0,0,5.39816,23
3,0,1,5.74939,27
3,0,1,5.75574,29
8,0,0,4.77912,30
1,0,0,5.39816,25
3,0,1,5.64897,30
6,0,1,4.91265,60
1,0,1,5.8522,56
2,0,0,4.92725,22
4,0,0,4.91265,45
3,1,1,6.38519,33
27,0,1,5.97889,60
6,0,1,5.06259,21
3,0,1,5.36129,30
14,0,1,6.45834,44
2,0,0,6.3315,52
11,0,1,5.24702,31
27,0,0,6.16121,51
6,0,1,5.53339,35
2,0,0,5.96358,55
1,1,1,5.75574,53
5,0,0,5.97889,33
1,0,0,5.28827,27
1,0,0,5.97889,33
1,1,0,5.46806,43
13,1,0,5.75574,32
3,1,1,4.92725,28
19,0,1,5.8944,51
9,0,1,6.29527,36
5,0,0,5.18178,27
17,0,1,4.92725,31
15,0,1,6.286,42
4,0,1,6.01859,50
7,0,1,5.75574,24
3,1,1,6.38519,36
14,1,0,4.83628,50
5,0,0,5.65599,38
3,0,0,5.8944,48
12,0,1,5.54908,47
2,0,0,5.54908,33
2,1,1,6.51026,33
10,0,1,6.16121,34
1,0,0,5.39816,22
5,0,1,5.75574,26
17,0,1,5.28827,30
7,0,1,5.06259,23
1,0,0,4.63473,24
21,0,1,5.46806,58
16,0,1,5.64897,34
7,0,1,5.32301,33
5,1,1,4.67283,47
6,0,1,5.46806,30
1,1,0,4.77912,49
5,0,0,5.50126,34
9,0,1,5.39816,24
9,0,1,5.69036,33
1,1,0,5.46806,38
6,0,1,5.59471,28
27,0,1,5.28827,41
13,1,1,6.16121,36
6,0,1,5.75574,61
5,1,1,5.32301,30
13,0,1,6.85435,58
23,0,1,5.62402,40
5,1,1,6.41017,30
2,1,0,5.97889,53
13,1,1,6.16121,43
10,0,1,5.75574,37
10,0,1,5.46806,30
5,1,1,6.31536,52
2,0,1,5.57973,54
2,0,0,4.86753,28
3,1,1,5.3799,23
2,0,0,5.53339,36
20,1,1,5.50126,55
21,0,1,6.76734,30
9,1,0,5.75574,33
17,0,1,5.80513,48
27,0,0,4.36945,34
1,1,1,5.06259,37
8,1,1,6.24222,54
15,0,1,5.06259,22
9,1,1,5.62402,21
1,0,0,5.97889,21
2,0,1,5.75574,41
7,1,1,6.85435,55
2,0,0,5.92693,34
2,0,0,5.28827,32
4,0,1,6.97261,50
22,1,1,5.75574,40
3,0,0,6.16121,24
22,1,1,5.97889,46
4,0,1,6.16121,27
4,0,1,5.75574,24
1,1,0,6.72863,37
1,0,0,5.06259,23
1,1,0,6.16121,54
2,1,0,5.59471,34
1,1,0,4.83628,44
1,1,0,5.62402,24
5,0,1,5.36129,30
3,0,0,5.75574,20
1,0,0,5.75574,43
2,0,1,5.42935,48
2,0,0,5.24702,21
1,1,0,5.32301,35
2,1,0,5.60947,27
10,0,0,5.20401,29
15,1,1,6.16121,28
11,0,1,5.75574,37
3,0,0,5.28827,25
15,0,0,5.42935,25
9,1,0,5.97889,40
2,0,0,5.97889,37
1,0,0,5.97889,42
1,1,0,5.15906,41
1,0,0,5.09987,40
1,0,0,5.18178,21
5,0,0,5.81711,30
7,0,1,4.95583,37
7,0,1,6.05678,34
13,0,0,5.15906,21
13,0,1,5.8522,40
5,1,0,5.46806,37
22,0,1,6.76734,60
3,0,0,5.28827,31
4,0,1,5.3799,23
3,0,1,5.53339,25
3,0,0,5.75574,37
9,0,0,4.95583,24
1,1,0,6.18621,42
2,0,0,5.97889,43
13,1,1,5.97889,36
10,0,1,5.62402,44
2,0,0,5.06259,38
2,0,0,5.62402,22
1,1,0,5.5835,31
3,0,1,5.24702,27
7,0,1,5.28827,33
1,0,1,5.59471,42
5,0,1,4.77912,41
19,0,1,5.97889,44
3,1,1,5.66643,24
2,0,1,5.39816,30
7,0,0,5.62402,35
3,0,1,5.06259,48
7,0,1,6.76734,49
5,1,1,5.75574,42
7,1,1,5.69036,42
8,1,1,6.30445,37
5,1,1,5.70378,27
13,0,1,5.39816,26
1,1,0,6.02828,24
6,0,0,4.66344,29
5,0,1,5.51745,46
3,0,1,5.8522,43
2,0,0,5.75574,42
21,0,0,4.95583,31
20,0,1,6.05678,25
20,0,1,5.59471,24
2,0,0,5.60947,27
25,0,1,4.83628,58
1,1,0,5.46806,48
22,1,1,6.67203,48
20,0,1,6.9344,54
